do_nms,iou_threshold,score_threshold,filter_too_big,correct,correct_box,incorrect,undetected
True,0.2,0.02,True,34,287,13436,218
True,0.2,0.02,False,26,286,16571,229
True,0.2,0.03,True,28,250,10150,258
True,0.2,0.03,False,21,255,12828,263
True,0.2,0.04,True,25,221,7659,288
True,0.2,0.04,False,18,224,10003,294
True,0.2,0.05,True,24,197,5837,311
True,0.2,0.05,False,17,201,7913,316
True,0.2,0.06,True,24,184,4523,321
True,0.2,0.06,False,17,191,6380,324
True,0.2,0.07,True,23,176,3543,331
True,0.2,0.07,False,16,181,5229,334
True,0.2,0.08,True,22,169,2848,337
True,0.2,0.08,False,15,175,4398,340
True,0.2,0.09,True,22,159,2299,347
True,0.2,0.09,False,15,164,3742,350
True,0.2,0.1,True,21,152,1825,358
True,0.2,0.1,False,14,157,3175,358
True,0.2,0.11,True,20,139,1464,374
True,0.2,0.11,False,13,146,2711,369
True,0.2,0.12,True,19,135,1215,379
True,0.2,0.12,False,13,141,2382,372
True,0.2,0.13,True,17,124,1034,392
True,0.2,0.13,False,11,133,2129,382
True,0.2,0.14,True,15,118,854,400
True,0.2,0.14,False,9,127,1872,389
True,0.2,0.15,True,13,112,730,408
True,0.2,0.15,False,8,125,1697,392
True,0.2,0.16,True,13,107,634,413
True,0.2,0.16,False,8,120,1558,396
True,0.2,0.17,True,12,103,533,417
True,0.2,0.17,False,7,116,1407,398
True,0.2,0.18,True,12,102,460,419
True,0.2,0.18,False,7,114,1289,400
True,0.2,0.19,True,12,100,388,420
True,0.2,0.19,False,7,113,1170,400
True,0.2,0.2,True,12,99,343,422
True,0.2,0.2,False,7,111,1084,401
True,0.2,0.21,True,12,97,302,426
True,0.2,0.21,False,7,109,999,403
True,0.2,0.22,True,12,92,267,430
True,0.2,0.22,False,7,103,933,408
True,0.2,0.23,True,12,85,237,438
True,0.2,0.23,False,7,97,869,414
True,0.2,0.24,True,12,81,217,441
True,0.2,0.24,False,7,96,821,415
True,0.2,0.25,True,12,80,191,445
True,0.2,0.25,False,7,96,768,415
True,0.2,0.26,True,11,78,169,448
True,0.2,0.26,False,6,94,722,416
True,0.2,0.27,True,11,78,153,448
True,0.2,0.27,False,6,93,675,417
True,0.2,0.28,True,11,78,139,450
True,0.2,0.28,False,6,92,633,418
True,0.2,0.29,True,11,77,131,451
True,0.2,0.29,False,6,89,600,418
True,0.2,0.3,True,11,76,121,453
True,0.2,0.3,False,6,87,569,419
True,0.2,0.31,True,11,74,109,455
True,0.2,0.31,False,6,85,529,420
True,0.2,0.32,True,10,72,101,458
True,0.2,0.32,False,6,84,509,421
True,0.2,0.33,True,10,69,90,463
True,0.2,0.33,False,6,82,469,422
True,0.2,0.34,True,10,69,85,463
True,0.2,0.34,False,6,82,444,422
True,0.2,0.35,True,9,68,78,466
True,0.2,0.35,False,5,80,418,423
True,0.2,0.36,True,9,66,77,468
True,0.2,0.36,False,5,78,398,425
True,0.2,0.37,True,9,65,71,468
True,0.2,0.37,False,5,77,374,425
True,0.2,0.38,True,9,62,67,471
True,0.2,0.38,False,5,74,358,426
True,0.2,0.39,True,9,62,63,471
True,0.2,0.39,False,5,73,344,426
True,0.2,0.4,True,9,62,56,472
True,0.2,0.4,False,5,73,323,426
True,0.2,0.41,True,7,61,50,475
True,0.2,0.41,False,5,72,307,427
True,0.2,0.42,True,7,58,48,478
True,0.2,0.42,False,5,69,294,429
True,0.2,0.43,True,7,57,47,479
True,0.2,0.43,False,5,69,283,429
True,0.2,0.44,True,7,54,42,482
True,0.2,0.44,False,5,66,262,432
True,0.2,0.45,True,7,51,39,486
True,0.2,0.45,False,5,62,249,434
True,0.2,0.46,True,7,51,37,486
True,0.2,0.46,False,5,62,237,434
True,0.2,0.47,True,7,48,35,489
True,0.2,0.47,False,5,59,223,435
True,0.2,0.48,True,7,47,32,489
True,0.2,0.48,False,5,58,209,435
True,0.2,0.49,True,7,46,32,489
True,0.2,0.49,False,5,57,201,435
True,0.2,0.5,True,6,46,31,490
True,0.2,0.5,False,5,56,191,435
True,0.2,0.51,True,6,44,27,493
True,0.2,0.51,False,5,55,183,436
